log start!
epoch 29, loss G: 301.5186
epoch 59, loss G: 301.5186
epoch 89, loss G: 301.5179
epoch 119, loss G: 301.5184
epoch 149, loss G: 301.5143
epoch 179, loss G: 301.5157
epoch 209, loss G: 301.5086
epoch 239, loss G: 301.5134
epoch 269, loss G: 301.5074
epoch 299, loss G: 301.5100
epoch 329, loss G: 301.4998
epoch 359, loss G: 301.5097
epoch 389, loss G: 301.5012
epoch 419, loss G: 301.5111
epoch 449, loss G: 301.5073
epoch 479, loss G: 301.4869
epoch 509, loss G: 301.5064
epoch 539, loss G: 301.4887
epoch 569, loss G: 301.5079
epoch 599, loss G: 301.4917
epoch 629, loss G: 301.4837
epoch 659, loss G: 301.5067
epoch 689, loss G: 301.4897
epoch 719, loss G: 301.4960
epoch 749, loss G: 301.4837
epoch 779, loss G: 301.4833
epoch 809, loss G: 301.5005
epoch 839, loss G: 301.4861
epoch 869, loss G: 301.4857
epoch 899, loss G: 301.4898
epoch 929, loss G: 301.4859
epoch 959, loss G: 301.4880
epoch 989, loss G: 301.4880
epoch 1019, loss G: 301.4851
epoch 1049, loss G: 301.4944
epoch 1079, loss G: 301.5024
epoch 1109, loss G: 301.5055
epoch 1139, loss G: 301.5014
epoch 1169, loss G: 301.4939
epoch 1199, loss G: 301.4816
epoch 1229, loss G: 301.4907
epoch 1259, loss G: 301.4917
epoch 1289, loss G: 301.4817
epoch 1319, loss G: 301.5182
epoch 1349, loss G: 301.4902
epoch 1379, loss G: 301.4886
epoch 1409, loss G: 301.4828
epoch 1439, loss G: 301.4816
epoch 1469, loss G: 301.4841
epoch 1499, loss G: 301.4889
epoch 1529, loss G: 301.4826
epoch 1559, loss G: 301.4847
epoch 1589, loss G: 301.4924
epoch 1619, loss G: 301.4885
epoch 1649, loss G: 301.4924
epoch 1679, loss G: 301.4900
epoch 1709, loss G: 301.4849
epoch 1739, loss G: 301.4966
epoch 1769, loss G: 301.5078
epoch 1799, loss G: 301.4924
epoch 1829, loss G: 301.4966
epoch 1859, loss G: 301.5063
epoch 1889, loss G: 301.4964
epoch 1919, loss G: 301.5233
epoch 1949, loss G: 301.4829
epoch 1979, loss G: 301.4883
epoch 2009, loss G: 301.5014
epoch 2039, loss G: 301.5086
epoch 2069, loss G: 301.4828
epoch 2099, loss G: 301.4901
epoch 2129, loss G: 301.5061
epoch 2159, loss G: 301.4856
epoch 2189, loss G: 301.4858
epoch 2219, loss G: 301.4985
epoch 2249, loss G: 301.4857
epoch 2279, loss G: 301.4826
epoch 2309, loss G: 301.4818
epoch 2339, loss G: 301.4864
epoch 2369, loss G: 301.4966
epoch 2399, loss G: 301.4831
epoch 2429, loss G: 301.5052
epoch 2459, loss G: 301.4823
epoch 2489, loss G: 301.4821
epoch 2519, loss G: 301.4986
epoch 2549, loss G: 301.4902
epoch 2579, loss G: 301.4832
epoch 2609, loss G: 301.5064
epoch 2639, loss G: 301.4831
epoch 2669, loss G: 301.4847
epoch 2699, loss G: 301.4864
epoch 2729, loss G: 301.5059
epoch 2759, loss G: 301.4824
epoch 2789, loss G: 301.5005
epoch 2819, loss G: 301.4994
epoch 2849, loss G: 301.4946
epoch 2879, loss G: 301.5007
epoch 2909, loss G: 301.4954
epoch 2939, loss G: 301.4864
epoch 2969, loss G: 301.5031
epoch 2999, loss G: 301.4966
epoch 3029, loss G: 301.4828
epoch 3059, loss G: 301.4966
epoch 3089, loss G: 301.4823
epoch 3119, loss G: 301.4902
epoch 3149, loss G: 301.4823
epoch 3179, loss G: 301.5090
epoch 3209, loss G: 301.4850
